Query_ID,Query,Baseline_Accuracy,GA_RAG_Accuracy,Baseline_Consistency,GA_RAG_Consistency,Baseline_Hallucination,GA_RAG_Hallucination,Baseline_Time,GA_RAG_Time
1,Nikolaj Coster-Waldau worked with the Fox Broadcas...,0.000,0.000,0.500,1.000,0.000,1.000,1.70s,13.83s
2,Roman Atwood is a content creator....,1.000,0.000,0.500,1.000,0.750,1.000,1.35s,6.59s
3,"History of art includes architecture, dance, sculp...",0.300,0.000,0.500,1.000,0.952,1.000,1.79s,8.94s
4,Adrienne Bailon is an accountant....,1.000,1.000,0.500,1.000,0.000,1.000,1.54s,3.88s
5,System of a Down briefly disbanded in limbo....,1.000,0.000,0.500,1.000,0.000,1.000,1.66s,5.49s
6,Homeland is an American television spy thriller ba...,1.000,0.000,0.500,1.000,0.818,1.000,1.46s,6.06s
7,Beautiful reached number two on the Billboard Hot ...,1.000,0.000,0.500,1.000,0.000,1.000,1.19s,6.57s
8,Neal Schon was named in 1954....,1.000,0.000,0.500,1.000,0.000,1.000,1.40s,5.82s
9,The Boston Celtics play their home games at TD Gar...,0.000,0.000,0.500,1.000,0.000,1.000,1.23s,4.90s
10,The Ten Commandments is an epic film....,1.000,0.000,0.500,1.000,1.000,1.000,1.22s,5.09s
